blind_id,artist,track_title,collection,preview_url,source_query
p0036.ogg,Gerard Cousins,"Suite in D Minor, HWV 448: IV. Sarabande I (Arr. for Guitar by Gerard Cousins)","1685: J. S. Bach, Handel, Scarlatti - EP",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/a4/5b/af/a45baf42-0042-f0b3-eeb4-08cd387f4975/mzaf_5676777663192700238.plus.aac.p.m4a,baroque classical
p0037.ogg,"Christopher Hogwood, Christophe Coin & Academy of Ancient Music","Cello Concerto in C Minor, R.401: 1. Allegro Non Molto",Vivaldi: 6 Cello Concertos,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/f9/7c/cf/f97ccf64-9ded-1943-241a-aae7589c63c0/mzaf_1339907202036253177.plus.aac.p.m4a,baroque classical
p0038.ogg,"Jean-Christophe Spinosi, Sébastien Marcq & Ensemble Matheus","Concerto in G Minor ""la Notte"", Rv439 : I. Largo","Vivaldi: la Notte, la Tempesta di Mare, Il Gardellino",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/89/44/ee/8944ee24-dac2-4236-dfe2-6771cad4b3d6/mzaf_4260170083479366536.plus.aac.p.m4a,baroque classical
p0039.ogg,Rachel Podger & Brecon Baroque,"Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""L'inverno"": I. Allegro non molto. Aggiacciato tremar trà nevi algenti",Vivaldi: Le Quattro Stagioni,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/cc/90/ec/cc90ec8b-9347-5f7e-412d-2e97da0e0f8f/mzaf_8417436443942081384.plus.aac.p.m4a,baroque classical
p0040.ogg,"Jean-Christophe Spinosi, Marie-Nicole Lemieux, Ensemble Matheus & Philippe Jaroussky","La fida ninfa: Scena 3 (Duetto Dimmi pastore Ninfa ti spiega) [Elpina, Osmino]",Vivaldi: La fida ninfa,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/d1/b6/ab/d1b6ab95-58ec-1aa9-8af4-dcbba6cbcb56/mzaf_12285401205054540843.plus.aac.p.m4a,baroque classical
p0041.ogg,"Ton Koopman, Yo-Yo Ma, Amsterdam Baroque Orchestra & Jonathan Manson","Concerto in G Minor for 2 Cellos, Strings and Basso continuo, RV 531: I. Allegro",Vivaldi's Cello (Remastered),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/7d/13/7f/7d137faa-6ae1-bd37-e24d-a349b71abfb3/mzaf_15733244559265586004.plus.aac.p.m4a,baroque classical
p0042.ogg,"Magdalena Kožená, Alessandro De Marchi & Academia Montis Regalis","Juditha Triumphans: Juditha Aria ""Veni, me sequere fida""",Ladies Sing Baroque,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/27/fc/b0/27fcb059-bb8d-e4e5-0ed8-35882081b1ec/mzaf_4212011422174579742.plus.aac.p.m4a,baroque classical
p0043.ogg,Ivo Pogorelich,"English Suite No. 2 in A Minor, BWV 807: 1. Prelude",Bach: English Suites No. 2 & 3 and Scarlatti: 4 Sonatas,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/67/db/ee/67dbee2a-481f-699f-4064-c3e7818a103c/mzaf_7737458052093619523.plus.aac.p.m4a,baroque classical
p0044.ogg,"London Philharmonic Orchestra, Itzhak Perlman & Rodney Friend","The Four Seasons, Concerto No. 2 in G Minor, RV 315 ""Summer"": III. Presto (Tempo impetuoso d""estate)",Vivaldi: The Four Seasons,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/51/7c/9e/517c9e63-958a-19ff-ba6b-9d08aab986f5/mzaf_18253196119470781448.plus.aac.p.m4a,baroque classical
p0045.ogg,Accademia Bizantina & Ottavio Dantone,"Cantata No. 142, BWV 142 - ""Uns ist ein Kind Geoboren"": Concerto",Bach: Sinfonia,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/79/7b/03/797b0376-2fd0-a9a5-45cf-60b30ba6f6cb/mzaf_13085235905718941202.plus.aac.p.m4a,baroque classical
p0046.ogg,Duo Tartini,"Sonata for Violin and Cello in G Major, B. G7: I. Larghetto","Continuo, Addio!",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/f6/dd/da/f6dddadc-b1f6-e0c6-5d4d-b9a16b8d294c/mzaf_16324862629008364118.plus.aac.p.m4a,baroque classical
p0047.ogg,Academy of Ancient Music & Andrew Manze,"Concerto Grosso No. 12 in B Minor, HWV 330: II. Allegro","Handel: Concerti Grossi, Op. 6 Nos. 1-12",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a5/91/ef/a591ef6e-f32d-ee7f-dcb6-d228b2bebe6e/mzaf_7046730602115557023.plus.aac.p.m4a,baroque classical
p0048.ogg,"Monteverdi Choir, John Eliot Gardiner & English Baroque Soloists","Israel in Egypt, Pt. 1: Exodus: No. 7 - Chorus: ""He Gave Them Hailstones""",Handel: Israel in Egypt,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/5f/20/61/5f20616e-8c8e-8450-967e-0932940d1168/mzaf_557051168367718977.plus.aac.p.m4a,baroque classical
